Position,Title,Artists,Duration,Genre,Year,Album,Track ID,Duration_sec,Duration_group
1,Fake ID,"kizaru, ICEGERGERT",3:49,rusrap,2025,Fake ID,138207906,229,3-4 мин
2,Худи,"Джиган, Artik & Asti, NILETTO",2:46,ruspop,2024,Худи,131964131,166,2-3 мин
3,Homay,AY YOLA,4:04,dance,2025,Homay,136848644,244,4-5 мин
4,Матушка,Татьяна Куртукова,2:52,ruspop,2024,У истока,108591168,172,2-3 мин
5,TOKYO,SQWOZ BAB,2:40,rusrap,2025,TOKYO,136300993,160,2-3 мин
6,так по***,madk1d,1:48,rusrap,2025,sexyswag,137300017,108,<2 мин
7,L,MACAN,2:38,rusrap,2025,L,138207754,158,2-3 мин
8,Асфальт,"Jakone, Kiliana",2:50,ruspop,2024,Асфальт,127360984,170,2-3 мин
9,Гектор,ICEGERGERT,1:22,rusrap,2024,Гектор,129542832,82,<2 мин
10,Пахнешь как,"SOLIDNAYA, SAKXRA",1:40,phonkgenre,2025,Пахнешь как,137249653,100,<2 мин
11,Бобр,SLAVA SKRIPKA,2:09,ruspop,2024,Бобр,130341040,129,2-3 мин
12,Поезда,"Женя Трофимов, Комната культуры",2:59,rusrock,2023,Поезда,119362724,179,2-3 мин
13,No Gletcher Gang 2,FRIENDLY THUG 52 NGG,1:56,rusrap,2025,Graf Monte-Cristo / Most Valuable Pirate,138562778,116,<2 мин
14,Самолеты,Женя Трофимов,2:53,electronics,2022,что бы она пела,108028599,173,2-3 мин
15,Sigma Boy,"Betsy, Мария Янковская",2:14,ruspop,2024,Sigma Boy,131245207,134,2-3 мин
16,PASSO BEM SOLTO,ATLXS,1:56,electronics,2025,PASSO BEM SOLTO,135859147,116,<2 мин
17,Закричу на весь мир,ТРАВМА,2:37,phonkgenre,2025,Закричу на весь мир,136439011,157,2-3 мин
18,Уходи Уходи (Boro Boro),"JONY, Arash",2:44,ruspop,2025,Уходи Уходи (Boro Boro),138483144,164,2-3 мин
19,не нужна,ENTYPE,1:53,rusrap,2025,не нужна,138000220,113,<2 мин
